event,person,time,value.amount,value.offer id,value.offer_id,value.reward
offer completed,0009655768c64bdeb2e877511632db8f,414,,,f19421c1d4aa40978ebb69ca19b0e20d,5
offer completed,0009655768c64bdeb2e877511632db8f,528,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,0009655768c64bdeb2e877511632db8f,576,,,2906b810c7d4411798c6938adc9daaa5,2
offer completed,0011e0d4e6b944f998e987f904e8c1e5,252,,,2298d6c36e964ae4a3e7e9706d1fb8c2,3
offer completed,0011e0d4e6b944f998e987f904e8c1e5,576,,,0b1e1539f2cc45b7b9fa7c272da2e1d7,5
offer completed,0011e0d4e6b944f998e987f904e8c1e5,576,,,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
offer completed,0020c2b971eb4e9188eac86d93036a77,54,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,0020c2b971eb4e9188eac86d93036a77,510,,,4d5c57ea9a6940dd891ad53e9dbe8da0,10
offer completed,0020c2b971eb4e9188eac86d93036a77,510,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,0020ccbbb6d84e358d3414a3ff76cffd,222,,,2298d6c36e964ae4a3e7e9706d1fb8c2,3
offer completed,0020ccbbb6d84e358d3414a3ff76cffd,378,,,f19421c1d4aa40978ebb69ca19b0e20d,5
offer completed,0020ccbbb6d84e358d3414a3ff76cffd,600,,,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
offer completed,003d66b6608740288d6cc97a6903f4f0,384,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,003d66b6608740288d6cc97a6903f4f0,504,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,003d66b6608740288d6cc97a6903f4f0,696,,,0b1e1539f2cc45b7b9fa7c272da2e1d7,5
offer completed,00426fe3ffde4c6b9cb9ad6d077a13ea,258,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,004b041fbfe44859945daa2c7f79ee64,534,,,f19421c1d4aa40978ebb69ca19b0e20d,5
offer completed,004b041fbfe44859945daa2c7f79ee64,714,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,004c5799adbf42868b9cff0396190900,222,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,004c5799adbf42868b9cff0396190900,336,,,ae264e3637204a6fb9bb56bc8210ddfd,10
offer completed,004c5799adbf42868b9cff0396190900,432,,,f19421c1d4aa40978ebb69ca19b0e20d,5
offer completed,004c5799adbf42868b9cff0396190900,558,,,f19421c1d4aa40978ebb69ca19b0e20d,5
offer completed,004c5799adbf42868b9cff0396190900,576,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,005500a7188546ff8a767329a2f7c76a,582,,,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
offer completed,0056df74b63b4298809f0b375a304cf4,132,,,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
offer completed,0056df74b63b4298809f0b375a304cf4,414,,,0b1e1539f2cc45b7b9fa7c272da2e1d7,5
offer completed,0056df74b63b4298809f0b375a304cf4,576,,,2298d6c36e964ae4a3e7e9706d1fb8c2,3
offer completed,0069a50874d846438e58acff5e594725,696,,,2906b810c7d4411798c6938adc9daaa5,2
offer completed,00715b6e55c3431cb56ff7307eb19675,12,,,ae264e3637204a6fb9bb56bc8210ddfd,10
offer completed,00715b6e55c3431cb56ff7307eb19675,210,,,0b1e1539f2cc45b7b9fa7c272da2e1d7,5
offer completed,00715b6e55c3431cb56ff7307eb19675,342,,,4d5c57ea9a6940dd891ad53e9dbe8da0,10
offer completed,00715b6e55c3431cb56ff7307eb19675,534,,,2906b810c7d4411798c6938adc9daaa5,2
offer completed,00715b6e55c3431cb56ff7307eb19675,666,,,0b1e1539f2cc45b7b9fa7c272da2e1d7,5
offer completed,0082fd87c18f45f2be70dbcbb0fb8aad,366,,,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
offer completed,0082fd87c18f45f2be70dbcbb0fb8aad,450,,,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
offer completed,00840a2ca5d2408e982d56544dc14ffd,246,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,00840a2ca5d2408e982d56544dc14ffd,522,,,9b98b8c7a33c4b65b9aebfe6a799e6d9,5
offer completed,00840a2ca5d2408e982d56544dc14ffd,540,,,2906b810c7d4411798c6938adc9daaa5,2
offer completed,0091d2b6a5ea4defaa8393e4e816db60,6,,,4d5c57ea9a6940dd891ad53e9dbe8da0,10
offer completed,0091d2b6a5ea4defaa8393e4e816db60,300,,,0b1e1539f2cc45b7b9fa7c272da2e1d7,5
offer completed,0091d2b6a5ea4defaa8393e4e816db60,408,,,f19421c1d4aa40978ebb69ca19b0e20d,5
offer completed,0091d2b6a5ea4defaa8393e4e816db60,540,,,f19421c1d4aa40978ebb69ca19b0e20d,5
offer completed,0099bf30e4cb4265875266eb3eb25eab,234,,,fafdcd668e3743c1bb461111dcafc2a4,2
offer completed,0099bf30e4cb4265875266eb3eb25eab,420,,,0b1e1539f2cc45b7b9fa7c272da2e1d7,5
offer completed,00a794f62b9a48beb58f8f6c02c2f1a6,534,,,f19421c1d4aa40978ebb69ca19b0e20d,5
offer completed,00ae03011f9f49b8a4b3e6d416678b0b,402,,,2298d6c36e964ae4a3e7e9706d1fb8c2,3
offer completed,00ae03011f9f49b8a4b3e6d416678b0b,414,,,ae264e3637204a6fb9bb56bc8210ddfd,10
